client_id,day1_v_avg,day1_i_std,day1_t_max,day1_r_int,day2_v_avg,day2_i_std,day2_t_max,day2_r_int,day3_v_avg,day3_i_std,day3_t_max,day3_r_int,day4_v_avg,day4_i_std,day4_t_max,day4_r_int,day5_v_avg,day5_i_std,day5_t_max,day5_r_int,day6_v_avg,day6_i_std,day6_t_max,day6_r_int,day7_v_avg,day7_i_std,day7_t_max,day7_r_int,soh
564,12.68,0.63,29.3,0.013,12.68,0.69,29.55,0.013,12.7,0.69,40.85,0.013,12.63,0.3,34.61,0.013,12.65,0.8,29.86,0.013,12.63,0.48,31.73,0.0156,12.64,0.74,31.59,0.0176,91.5
565,12.7,0.8,32.54,0.0213,12.7,0.32,33.07,0.013,12.68,0.38,38.21,0.0142,12.63,0.78,30.68,0.0158,12.59,0.49,32.89,0.0175,12.68,0.62,30.16,0.0165,12.65,0.36,28.96,0.0208,91.5
566,12.68,0.3,30.46,0.0134,12.7,0.58,30.39,0.018,12.66,0.56,41.17,0.0227,12.62,0.89,29.52,0.013,12.56,0.71,32.39,0.0135,12.7,0.3,28.82,0.013,12.61,0.62,30.02,0.013,91.5
567,12.6,0.73,31.97,0.0141,12.68,0.89,27.29,0.013,12.7,0.7,39.15,0.0206,12.58,0.65,27.18,0.0158,12.7,0.56,32.26,0.0181,12.58,0.62,29.68,0.018,12.7,0.34,29.76,0.013,91.5
568,12.65,0.82,33.67,0.013,12.7,0.54,31.04,0.0191,12.67,0.87,41.84,0.0159,12.64,0.3,29.12,0.013,12.66,0.75,31.47,0.0151,12.67,0.65,31.6,0.0202,12.67,0.45,27.07,0.013,91.5
569,12.61,0.45,29.74,0.013,12.7,0.87,29.25,0.021,12.62,0.49,42.0,0.013,12.7,0.35,33.04,0.0165,12.61,0.8,27.14,0.0196,12.67,0.5,32.59,0.013,12.68,0.8,29.59,0.013,91.5
570,12.68,0.66,31.56,0.013,12.65,0.86,30.67,0.013,12.67,0.83,39.15,0.0154,12.7,0.44,33.39,0.013,12.63,0.8,28.01,0.0205,12.63,0.35,28.3,0.0156,12.58,0.32,34.62,0.015,91.5
571,12.7,0.89,33.21,0.0201,12.57,0.87,34.06,0.0216,12.7,0.86,38.63,0.0184,12.68,0.66,32.66,0.015,12.66,0.52,31.69,0.0193,12.59,0.51,29.05,0.0229,12.62,0.7,28.95,0.0189,91.5
572,12.7,0.87,32.72,0.013,12.62,0.44,28.51,0.0177,12.56,0.64,40.86,0.02,12.7,0.46,34.86,0.0135,12.63,0.79,33.67,0.0207,12.7,0.43,28.63,0.0176,12.58,0.42,32.87,0.013,91.5
573,12.7,0.4,31.3,0.0211,12.7,0.68,29.73,0.0245,12.65,0.3,38.1,0.0202,12.69,0.64,29.41,0.0214,12.65,0.89,29.07,0.013,12.62,0.38,32.21,0.0242,12.65,0.3,32.31,0.0133,91.5
574,12.69,0.37,30.03,0.013,12.66,0.37,34.51,0.0221,12.61,0.82,41.47,0.0206,12.69,0.54,27.19,0.0152,12.68,0.3,28.4,0.013,12.67,0.42,34.26,0.02,12.5,0.61,29.98,0.013,91.5
575,12.7,0.4,30.32,0.013,12.7,0.54,33.1,0.0141,12.67,0.3,41.06,0.0177,12.7,0.57,31.25,0.013,12.59,0.5,31.06,0.013,12.66,0.39,28.62,0.023,12.66,0.52,30.97,0.014,91.5
576,12.59,0.78,30.44,0.013,12.7,0.35,29.18,0.0185,12.7,0.87,39.49,0.0158,12.69,0.69,28.36,0.0241,12.65,0.9,34.22,0.013,12.59,0.79,32.85,0.013,12.55,0.64,34.3,0.0183,91.5
577,12.7,0.66,29.76,0.013,12.65,0.57,27.88,0.013,12.66,0.59,39.92,0.0167,12.54,0.5,31.84,0.0136,12.7,0.83,28.77,0.0236,12.57,0.65,30.65,0.013,12.57,0.39,31.52,0.013,91.5
578,12.7,0.7,32.59,0.0135,12.65,0.9,34.44,0.0199,12.65,0.83,42.04,0.021,12.7,0.71,32.51,0.0195,12.66,0.6,31.07,0.0156,12.66,0.7,31.62,0.013,12.62,0.39,32.59,0.0182,91.5
579,12.63,0.46,28.07,0.013,12.66,0.67,28.07,0.013,12.63,0.55,42.01,0.0167,12.68,0.48,33.89,0.013,12.6,0.82,31.94,0.013,12.6,0.36,28.57,0.0142,12.56,0.51,33.28,0.013,91.5
580,12.7,0.45,34.8,0.013,12.58,0.38,29.92,0.013,12.63,0.5,40.08,0.013,12.62,0.57,32.49,0.013,12.67,0.41,27.86,0.025,12.62,0.43,31.37,0.0185,12.66,0.83,28.34,0.013,91.5
581,12.7,0.69,33.21,0.013,12.7,0.63,29.71,0.013,12.7,0.58,41.47,0.0173,12.69,0.51,34.58,0.013,12.58,0.37,31.54,0.013,12.57,0.47,28.31,0.013,12.59,0.55,28.53,0.0143,91.5
582,12.68,0.62,29.45,0.0173,12.7,0.78,27.89,0.013,12.7,0.8,38.33,0.013,12.65,0.65,30.91,0.0167,12.68,0.37,33.02,0.0151,12.66,0.65,33.12,0.0147,12.64,0.51,30.22,0.0198,91.5
583,12.7,0.7,27.35,0.0156,12.64,0.7,27.74,0.013,12.7,0.67,38.7,0.0134,12.7,0.45,27.87,0.013,12.59,0.53,32.36,0.013,12.48,0.47,30.21,0.0157,12.64,0.34,31.21,0.013,91.5
584,12.7,0.61,32.65,0.0142,12.61,0.6,29.18,0.0131,12.7,0.41,40.02,0.013,12.7,0.65,33.61,0.013,12.67,0.36,32.22,0.0161,12.56,0.68,27.49,0.013,12.65,0.83,31.22,0.0138,91.5
585,12.7,0.43,32.85,0.0183,12.64,0.76,29.91,0.0164,12.7,0.66,40.71,0.019,12.66,0.34,32.04,0.013,12.7,0.38,34.37,0.0213,12.61,0.83,30.32,0.0235,12.68,0.78,34.08,0.013,91.5
586,12.7,0.39,34.78,0.0143,12.7,0.42,34.75,0.0138,12.62,0.3,40.33,0.0157,12.7,0.6,28.43,0.016,12.65,0.69,32.66,0.0158,12.62,0.61,27.96,0.0139,12.62,0.76,31.88,0.013,91.5
587,12.68,0.36,29.13,0.0139,12.7,0.59,31.27,0.0154,12.66,0.3,38.62,0.0179,12.67,0.55,27.07,0.013,12.59,0.58,33.92,0.0164,12.57,0.75,31.7,0.0213,12.52,0.56,33.3,0.013,91.5
588,12.66,0.46,27.68,0.013,12.7,0.8,34.29,0.013,12.61,0.62,42.04,0.0163,12.66,0.88,28.3,0.013,12.65,0.82,28.89,0.025,12.57,0.78,29.76,0.0142,12.64,0.61,31.34,0.017,91.5
589,12.7,0.39,34.29,0.013,12.7,0.6,28.03,0.013,12.66,0.32,41.53,0.013,12.7,0.64,30.26,0.0131,12.65,0.57,29.98,0.0167,12.7,0.68,33.78,0.013,12.63,0.48,29.57,0.0166,91.5
590,12.66,0.36,29.06,0.013,12.6,0.84,28.96,0.013,12.64,0.86,40.34,0.0161,12.66,0.3,34.6,0.013,12.66,0.42,30.82,0.0171,12.56,0.38,34.24,0.013,12.7,0.9,32.21,0.0177,91.5
591,12.7,0.39,32.73,0.0137,12.68,0.57,28.3,0.013,12.69,0.78,38.49,0.0142,12.67,0.61,30.73,0.0172,12.7,0.69,32.8,0.013,12.55,0.54,32.6,0.013,12.54,0.6,31.2,0.0133,91.5
592,12.68,0.42,27.45,0.0181,12.7,0.32,30.03,0.0194,12.67,0.35,41.94,0.0144,12.7,0.34,27.43,0.013,12.68,0.54,31.57,0.013,12.7,0.67,27.03,0.013,12.69,0.37,27.48,0.0135,91.5
593,12.7,0.67,33.05,0.0159,12.7,0.3,34.34,0.0135,12.7,0.69,40.44,0.0154,12.7,0.55,34.9,0.013,12.56,0.49,28.02,0.0171,12.68,0.65,34.4,0.013,12.6,0.31,31.42,0.013,91.5
594,12.7,0.5,28.01,0.0158,12.7,0.56,29.36,0.013,12.7,0.85,39.19,0.013,12.68,0.38,31.33,0.013,12.63,0.81,31.62,0.013,12.55,0.74,27.23,0.0144,12.6,0.82,28.1,0.0152,91.5
595,12.7,0.76,32.57,0.013,12.7,0.61,31.77,0.0162,12.69,0.55,39.97,0.013,12.65,0.85,32.72,0.0149,12.7,0.83,27.43,0.013,12.61,0.66,31.75,0.013,12.56,0.65,27.64,0.0131,91.5
596,12.67,0.76,31.25,0.0156,12.7,0.44,34.27,0.0135,12.67,0.48,39.11,0.013,12.7,0.73,30.88,0.0165,12.7,0.79,32.9,0.013,12.67,0.59,27.54,0.0146,12.62,0.44,34.71,0.0211,91.5
597,12.69,0.7,34.63,0.013,12.7,0.66,31.02,0.013,12.68,0.63,38.7,0.0155,12.7,0.3,30.33,0.013,12.7,0.75,32.44,0.013,12.62,0.68,29.83,0.013,12.7,0.65,32.3,0.013,92.53
598,12.65,0.81,27.33,0.0139,12.63,0.47,31.19,0.02,12.7,0.82,40.67,0.013,12.69,0.78,28.27,0.0146,12.65,0.32,32.88,0.0152,12.58,0.7,31.46,0.0161,12.7,0.42,28.67,0.013,91.5
599,12.68,0.3,29.32,0.0158,12.66,0.46,31.38,0.0171,12.63,0.65,38.7,0.0159,12.64,0.55,28.75,0.0176,12.64,0.36,27.87,0.013,12.63,0.83,28.81,0.013,12.58,0.53,34.38,0.013,91.5
600,12.7,0.7,27.55,0.013,12.6,0.7,29.26,0.013,12.67,0.58,38.99,0.0168,12.66,0.77,32.85,0.013,12.68,0.77,34.36,0.0207,12.61,0.35,28.12,0.0181,12.52,0.4,32.16,0.013,91.5
601,12.7,0.9,34.02,0.0138,12.7,0.87,30.37,0.013,12.62,0.73,39.43,0.0239,12.63,0.38,27.77,0.0218,12.6,0.67,35.03,0.013,12.65,0.43,33.23,0.0172,12.69,0.54,33.53,0.013,91.5
602,12.65,0.85,31.83,0.0142,12.7,0.41,33.75,0.013,12.65,0.76,41.72,0.0171,12.7,0.67,28.76,0.018,12.7,0.67,31.74,0.0167,12.7,0.7,28.25,0.013,12.65,0.49,27.25,0.0203,91.5
603,12.7,0.54,31.26,0.018,12.62,0.46,30.23,0.013,12.7,0.3,41.79,0.013,12.68,0.33,32.33,0.0217,12.67,0.76,27.38,0.013,12.63,0.52,28.24,0.023,12.69,0.9,27.94,0.013,91.5
604,12.7,0.47,28.08,0.013,12.67,0.59,30.33,0.013,12.69,0.62,39.1,0.0158,12.6,0.8,32.78,0.013,12.51,0.69,30.75,0.013,12.67,0.84,32.45,0.0173,12.65,0.5,30.21,0.0197,91.5
605,12.7,0.37,30.87,0.013,12.6,0.44,27.97,0.0132,12.68,0.41,38.93,0.0192,12.6,0.8,27.27,0.013,12.61,0.73,31.76,0.013,12.6,0.3,27.75,0.0166,12.7,0.42,32.2,0.0211,91.5
606,12.7,0.65,30.21,0.0138,12.68,0.45,30.82,0.013,12.6,0.47,41.02,0.013,12.7,0.57,30.76,0.0207,12.66,0.3,33.46,0.0134,12.58,0.35,28.61,0.0164,12.64,0.34,34.53,0.0237,91.5
607,12.66,0.8,29.55,0.013,12.64,0.88,27.69,0.013,12.7,0.83,40.37,0.0177,12.67,0.54,34.14,0.0223,12.69,0.7,32.14,0.0166,12.65,0.67,33.39,0.0135,12.68,0.76,27.87,0.017,91.5
608,12.64,0.47,33.23,0.013,12.63,0.84,29.13,0.0248,12.7,0.7,40.53,0.0157,12.7,0.68,29.59,0.0165,12.66,0.44,33.35,0.013,12.62,0.71,30.3,0.0131,12.58,0.75,30.72,0.0192,91.5
609,12.61,0.63,27.47,0.013,12.68,0.84,34.8,0.0213,12.59,0.56,41.98,0.0201,12.66,0.58,32.43,0.0148,12.68,0.58,33.29,0.013,12.66,0.73,27.86,0.013,12.7,0.88,32.26,0.015,91.5
610,12.7,0.72,32.12,0.013,12.7,0.3,34.25,0.013,12.7,0.57,41.67,0.0163,12.7,0.71,28.7,0.0133,12.68,0.37,28.38,0.0181,12.64,0.63,34.79,0.0136,12.58,0.89,32.93,0.0237,91.5
611,12.7,0.55,33.54,0.0217,12.7,0.5,31.92,0.013,12.61,0.46,39.94,0.0136,12.62,0.9,31.84,0.013,12.65,0.39,34.32,0.0144,12.7,0.49,28.67,0.013,12.6,0.75,30.59,0.0155,91.5
612,12.7,0.78,34.31,0.013,12.67,0.67,32.69,0.0159,12.7,0.5,41.1,0.0143,12.65,0.47,27.33,0.013,12.69,0.6,27.42,0.013,12.65,0.84,30.05,0.013,12.52,0.51,33.6,0.0144,91.5
613,12.7,0.76,33.07,0.0154,12.68,0.7,28.86,0.013,12.7,0.45,40.48,0.0141,12.67,0.36,34.1,0.013,12.64,0.48,29.24,0.0143,12.64,0.59,30.66,0.02,12.62,0.81,28.68,0.013,91.5
614,12.64,0.33,29.3,0.0132,12.7,0.72,28.19,0.0136,12.7,0.59,41.87,0.0132,12.61,0.62,32.09,0.013,12.6,0.36,34.21,0.013,12.64,0.3,31.65,0.0139,12.63,0.42,28.85,0.013,91.5
615,12.7,0.67,31.74,0.013,12.7,0.35,31.38,0.013,12.65,0.62,39.57,0.013,12.68,0.88,31.23,0.0153,12.58,0.88,34.91,0.0133,12.62,0.38,30.51,0.013,12.63,0.67,28.38,0.0216,91.5
616,12.7,0.49,28.17,0.013,12.67,0.54,34.18,0.013,12.64,0.77,40.82,0.0155,12.69,0.37,31.39,0.0136,12.66,0.71,30.63,0.013,12.58,0.85,32.83,0.0169,12.66,0.85,27.97,0.019,91.5
617,12.7,0.72,27.89,0.0168,12.7,0.44,33.57,0.013,12.7,0.48,40.26,0.0189,12.7,0.49,32.52,0.014,12.65,0.42,27.15,0.013,12.64,0.63,27.5,0.0147,12.48,0.7,28.24,0.0168,91.5
618,12.7,0.83,32.09,0.013,12.64,0.8,31.7,0.013,12.66,0.81,40.82,0.0175,12.68,0.43,29.83,0.0167,12.63,0.65,28.42,0.013,12.69,0.72,34.44,0.013,12.54,0.39,32.98,0.0175,91.5
619,12.7,0.81,33.82,0.013,12.69,0.64,34.86,0.013,12.65,0.88,38.26,0.0131,12.66,0.32,30.13,0.013,12.69,0.76,31.14,0.0143,12.62,0.67,32.42,0.0134,12.6,0.3,31.96,0.0172,91.5
620,12.7,0.5,27.56,0.013,12.7,0.5,28.94,0.013,12.63,0.64,40.22,0.013,12.7,0.77,30.97,0.0174,12.68,0.78,31.95,0.0143,12.62,0.61,31.48,0.013,12.61,0.9,32.24,0.0157,91.5
621,12.66,0.48,27.85,0.013,12.7,0.83,33.12,0.013,12.6,0.73,40.69,0.013,12.64,0.54,34.2,0.0187,12.63,0.73,32.68,0.013,12.65,0.51,28.56,0.0233,12.57,0.65,27.73,0.013,91.5
622,12.7,0.41,31.49,0.0182,12.65,0.9,29.14,0.0215,12.65,0.83,41.69,0.013,12.7,0.72,28.06,0.013,12.68,0.54,29.46,0.013,12.65,0.72,29.72,0.013,12.58,0.31,30.66,0.0136,91.5
623,12.7,0.63,28.8,0.013,12.7,0.54,34.74,0.0156,12.7,0.61,41.45,0.0165,12.7,0.52,29.81,0.013,12.59,0.57,28.8,0.0153,12.62,0.82,32.91,0.0189,12.67,0.84,33.99,0.013,91.5
624,12.7,0.42,31.87,0.0203,12.69,0.71,29.03,0.013,12.6,0.3,40.69,0.0145,12.64,0.65,31.9,0.0159,12.68,0.73,28.47,0.0157,12.65,0.64,32.99,0.0142,12.68,0.31,33.75,0.0235,91.5
625,12.7,0.5,28.78,0.0142,12.67,0.52,29.96,0.0163,12.67,0.47,41.32,0.013,12.65,0.85,27.38,0.013,12.68,0.57,28.83,0.013,12.58,0.3,31.11,0.0207,12.58,0.32,28.3,0.013,91.5
626,12.67,0.33,27.86,0.02,12.7,0.5,30.81,0.013,12.67,0.31,40.42,0.0158,12.64,0.59,29.71,0.014,12.7,0.46,28.75,0.0136,12.59,0.34,28.94,0.013,12.62,0.73,34.56,0.0189,91.5
627,12.65,0.47,31.38,0.013,12.67,0.6,29.44,0.025,12.61,0.82,40.62,0.0165,12.6,0.84,31.23,0.013,12.7,0.34,28.05,0.013,12.56,0.59,33.76,0.013,12.64,0.3,27.11,0.0216,91.5
628,12.69,0.45,33.84,0.013,12.63,0.83,29.25,0.025,12.6,0.43,39.45,0.0225,12.59,0.8,31.91,0.0219,12.61,0.72,28.66,0.0183,12.7,0.3,28.7,0.013,12.6,0.33,33.21,0.013,91.5
629,12.7,0.84,32.44,0.0182,12.65,0.61,30.78,0.0216,12.66,0.36,40.22,0.013,12.6,0.34,27.76,0.013,12.62,0.9,31.47,0.013,12.63,0.62,34.28,0.0148,12.62,0.55,27.68,0.0161,91.5
630,12.7,0.8,33.52,0.013,12.7,0.55,33.53,0.0181,12.7,0.88,38.55,0.013,12.63,0.85,29.64,0.0199,12.61,0.83,33.99,0.0159,12.62,0.9,30.18,0.0226,12.6,0.79,27.87,0.025,91.5
631,12.62,0.56,29.21,0.0194,12.64,0.78,33.21,0.013,12.62,0.31,40.11,0.025,12.54,0.48,28.65,0.0131,12.69,0.77,29.13,0.013,12.59,0.43,31.34,0.013,12.65,0.53,30.39,0.0152,91.5
632,12.7,0.38,34.15,0.0159,12.7,0.82,30.55,0.013,12.65,0.87,39.44,0.013,12.62,0.63,31.0,0.0183,12.54,0.37,33.1,0.013,12.64,0.58,34.81,0.013,12.61,0.42,32.65,0.013,91.5
633,12.69,0.65,30.06,0.0203,12.64,0.77,29.49,0.0198,12.67,0.76,39.08,0.0146,12.7,0.31,28.83,0.013,12.69,0.35,33.09,0.013,12.64,0.45,32.23,0.0152,12.6,0.85,28.53,0.0176,91.5
634,12.68,0.39,33.82,0.013,12.68,0.54,28.06,0.013,12.7,0.57,41.21,0.0154,12.7,0.68,30.67,0.013,12.65,0.3,31.84,0.013,12.63,0.61,28.87,0.013,12.62,0.65,29.02,0.025,91.5
635,12.65,0.59,30.78,0.0178,12.7,0.82,33.96,0.0133,12.7,0.73,39.74,0.013,12.61,0.55,34.22,0.013,12.65,0.37,27.55,0.0169,12.65,0.48,27.1,0.013,12.57,0.5,30.89,0.013,91.5
636,12.62,0.84,29.21,0.013,12.64,0.32,34.05,0.0153,12.7,0.83,40.54,0.013,12.61,0.47,32.91,0.013,12.67,0.59,31.11,0.0198,12.67,0.87,33.04,0.013,12.6,0.69,33.55,0.013,91.5
637,12.7,0.63,29.12,0.013,12.58,0.55,27.57,0.0161,12.7,0.3,39.26,0.013,12.7,0.63,32.18,0.013,12.64,0.72,32.19,0.013,12.7,0.41,31.47,0.0177,12.56,0.49,33.44,0.013,91.5
638,12.7,0.75,31.54,0.0175,12.7,0.82,32.95,0.0149,12.7,0.72,39.76,0.013,12.65,0.85,34.18,0.015,12.67,0.8,33.83,0.0188,12.59,0.73,28.62,0.0216,12.64,0.73,28.27,0.013,91.5
639,12.64,0.61,27.71,0.013,12.62,0.71,34.06,0.013,12.59,0.53,38.87,0.0185,12.68,0.37,28.19,0.0229,12.69,0.3,31.68,0.013,12.64,0.35,33.28,0.013,12.58,0.38,30.84,0.0139,91.5
640,12.64,0.88,34.48,0.0178,12.65,0.69,32.93,0.013,12.54,0.75,39.94,0.0216,12.7,0.47,30.56,0.013,12.56,0.39,33.66,0.013,12.57,0.33,27.5,0.0155,12.59,0.85,34.72,0.0167,91.5
641,12.68,0.9,29.18,0.0135,12.7,0.4,29.77,0.013,12.7,0.6,40.79,0.013,12.67,0.54,34.62,0.013,12.7,0.65,27.84,0.0168,12.6,0.57,29.8,0.0138,12.61,0.55,35.01,0.013,91.5
642,12.7,0.57,29.66,0.0131,12.7,0.67,30.48,0.0185,12.69,0.46,39.77,0.0208,12.67,0.9,32.25,0.0149,12.66,0.57,28.4,0.0195,12.55,0.77,31.17,0.0161,12.63,0.76,33.95,0.013,91.5
643,12.69,0.49,28.84,0.0205,12.57,0.87,29.32,0.013,12.56,0.83,39.92,0.0158,12.67,0.68,27.7,0.0184,12.69,0.36,34.14,0.0131,12.66,0.9,27.24,0.013,12.58,0.88,33.01,0.021,91.5
644,12.62,0.63,27.01,0.0136,12.67,0.3,31.33,0.013,12.63,0.81,39.7,0.0211,12.7,0.82,31.35,0.013,12.7,0.41,30.96,0.013,12.62,0.53,27.99,0.0157,12.69,0.64,29.36,0.013,91.5
645,12.69,0.46,32.56,0.013,12.7,0.45,34.06,0.0136,12.65,0.38,40.32,0.0155,12.65,0.68,28.5,0.013,12.58,0.34,31.66,0.013,12.58,0.54,28.88,0.0168,12.63,0.74,30.51,0.013,91.5
646,12.69,0.67,31.77,0.013,12.7,0.48,32.32,0.013,12.7,0.51,39.53,0.0183,12.7,0.77,27.03,0.013,12.62,0.38,28.51,0.013,12.59,0.82,34.04,0.015,12.62,0.34,32.46,0.013,91.5
647,12.57,0.57,33.4,0.0138,12.62,0.53,30.63,0.0131,12.68,0.73,38.28,0.0158,12.66,0.77,33.28,0.018,12.7,0.59,29.34,0.013,12.64,0.57,32.53,0.0209,12.62,0.57,29.6,0.0207,91.5
648,12.7,0.35,27.23,0.013,12.7,0.64,33.87,0.013,12.7,0.41,41.19,0.013,12.7,0.62,31.51,0.0138,12.7,0.51,28.61,0.013,12.65,0.84,34.08,0.025,12.56,0.6,30.6,0.0134,91.5
649,12.69,0.49,34.38,0.0155,12.65,0.42,26.98,0.013,12.61,0.74,39.14,0.015,12.6,0.44,31.62,0.013,12.56,0.5,33.17,0.013,12.7,0.75,31.14,0.013,12.68,0.85,27.72,0.013,91.5
650,12.7,0.57,29.63,0.0198,12.7,0.65,29.06,0.013,12.59,0.76,40.53,0.0159,12.56,0.64,28.89,0.0165,12.58,0.83,34.16,0.017,12.58,0.8,33.13,0.0148,12.68,0.39,29.99,0.0212,91.5
651,12.7,0.84,34.36,0.013,12.63,0.5,30.5,0.0148,12.57,0.72,41.54,0.0209,12.65,0.82,28.25,0.013,12.66,0.63,30.16,0.013,12.66,0.53,33.06,0.013,12.67,0.31,30.05,0.0133,91.5
652,12.7,0.62,27.84,0.013,12.67,0.7,31.74,0.013,12.7,0.38,41.0,0.016,12.61,0.44,28.95,0.0174,12.62,0.78,28.28,0.0162,12.59,0.69,30.17,0.013,12.54,0.77,33.67,0.013,91.5
653,12.69,0.74,32.96,0.0149,12.7,0.41,35.03,0.0144,12.66,0.55,39.35,0.013,12.65,0.59,34.92,0.0187,12.58,0.41,29.7,0.013,12.67,0.45,31.28,0.0141,12.57,0.87,27.06,0.0146,91.5
654,12.64,0.51,31.66,0.0217,12.7,0.61,32.11,0.018,12.68,0.86,40.22,0.013,12.7,0.39,29.3,0.013,12.68,0.64,34.26,0.013,12.69,0.43,34.18,0.019,12.64,0.9,29.55,0.013,91.5
655,12.7,0.59,29.81,0.0153,12.7,0.69,29.96,0.013,12.68,0.84,39.92,0.0177,12.64,0.62,30.97,0.0216,12.7,0.5,29.11,0.013,12.66,0.57,29.92,0.0201,12.56,0.58,32.07,0.013,91.5
656,12.7,0.52,27.71,0.0141,12.66,0.69,32.73,0.013,12.57,0.86,38.62,0.013,12.7,0.63,31.93,0.022,12.63,0.32,29.97,0.013,12.56,0.8,34.52,0.013,12.57,0.62,30.39,0.013,91.5
657,12.7,0.6,31.8,0.013,12.66,0.83,34.79,0.013,12.67,0.84,39.34,0.013,12.7,0.68,33.06,0.013,12.6,0.48,31.37,0.0152,12.62,0.9,34.43,0.013,12.63,0.78,28.21,0.013,91.5
658,12.7,0.3,27.29,0.013,12.7,0.83,31.88,0.013,12.7,0.81,39.78,0.014,12.67,0.64,34.93,0.0175,12.7,0.46,31.0,0.017,12.67,0.48,28.03,0.013,12.63,0.42,33.66,0.013,91.5
659,12.7,0.64,31.0,0.0131,12.7,0.78,29.89,0.013,12.7,0.73,38.54,0.013,12.64,0.59,32.73,0.0244,12.62,0.84,30.36,0.013,12.68,0.63,34.72,0.013,12.6,0.7,28.02,0.013,91.5
660,12.69,0.54,31.82,0.0132,12.66,0.9,32.48,0.0141,12.64,0.63,38.7,0.0149,12.67,0.66,32.88,0.013,12.66,0.48,28.41,0.0226,12.67,0.51,34.93,0.0207,12.62,0.9,29.22,0.013,91.5
661,12.67,0.53,32.8,0.013,12.7,0.32,30.72,0.013,12.64,0.7,40.19,0.0204,12.67,0.32,30.5,0.013,12.57,0.58,31.99,0.013,12.54,0.71,28.28,0.013,12.7,0.66,33.44,0.0198,91.5
662,12.67,0.9,34.94,0.013,12.7,0.69,31.23,0.0141,12.69,0.53,41.79,0.013,12.56,0.76,28.04,0.013,12.7,0.62,33.67,0.013,12.54,0.57,34.81,0.013,12.55,0.89,27.46,0.0192,91.5
663,12.7,0.4,29.19,0.0188,12.62,0.43,34.66,0.0179,12.67,0.37,40.8,0.013,12.66,0.38,31.04,0.0189,12.66,0.9,27.46,0.013,12.62,0.49,34.12,0.013,12.7,0.3,27.57,0.0154,91.5
664,12.67,0.53,29.6,0.013,12.7,0.84,30.48,0.013,12.61,0.48,40.68,0.013,12.58,0.38,29.61,0.013,12.6,0.76,31.61,0.0216,12.68,0.9,29.41,0.0211,12.64,0.6,33.18,0.0177,91.5
665,12.66,0.62,29.74,0.013,12.61,0.85,29.52,0.017,12.65,0.34,39.65,0.0141,12.67,0.83,32.55,0.013,12.69,0.8,27.4,0.0148,12.66,0.51,30.23,0.013,12.69,0.3,29.2,0.015,91.5
666,12.7,0.9,32.82,0.021,12.65,0.3,32.1,0.0188,12.7,0.76,39.9,0.0143,12.7,0.9,28.22,0.013,12.7,0.31,33.86,0.013,12.59,0.42,31.08,0.013,12.57,0.36,33.88,0.013,91.5
667,12.69,0.55,34.48,0.013,12.64,0.71,31.52,0.013,12.62,0.6,38.79,0.015,12.7,0.43,27.34,0.0152,12.67,0.76,28.57,0.0209,12.63,0.42,32.6,0.0142,12.57,0.36,27.2,0.0207,91.5
668,12.7,0.81,34.8,0.013,12.68,0.88,30.19,0.013,12.7,0.52,42.12,0.0164,12.69,0.84,33.42,0.013,12.67,0.81,30.54,0.0146,12.57,0.73,34.14,0.013,12.62,0.69,34.39,0.013,91.5
669,12.57,0.86,34.56,0.0183,12.66,0.55,29.51,0.013,12.67,0.42,41.21,0.013,12.61,0.9,29.79,0.0153,12.59,0.58,34.9,0.0166,12.62,0.39,33.78,0.0214,12.55,0.74,29.67,0.013,91.5
670,12.7,0.52,34.06,0.013,12.68,0.6,31.26,0.025,12.65,0.41,38.22,0.013,12.57,0.9,32.69,0.013,12.62,0.55,31.56,0.0189,12.63,0.48,29.06,0.013,12.64,0.89,34.86,0.024,91.5
671,12.7,0.44,34.84,0.013,12.59,0.31,28.35,0.013,12.7,0.55,38.77,0.013,12.66,0.43,28.78,0.013,12.55,0.75,28.33,0.0181,12.62,0.82,30.14,0.013,12.59,0.61,29.69,0.0203,91.5
672,12.6,0.56,30.0,0.0141,12.68,0.8,29.26,0.0182,12.69,0.5,40.54,0.013,12.61,0.56,29.63,0.013,12.7,0.31,27.04,0.0169,12.69,0.38,31.07,0.0137,12.64,0.72,32.47,0.013,91.5
673,12.68,0.79,34.53,0.017,12.63,0.3,33.9,0.0132,12.7,0.38,42.09,0.0134,12.6,0.47,33.19,0.013,12.56,0.7,33.8,0.0158,12.58,0.3,30.72,0.017,12.7,0.5,31.8,0.0158,91.5
674,12.68,0.3,33.09,0.013,12.7,0.69,34.35,0.013,12.59,0.42,40.2,0.013,12.65,0.3,32.51,0.0154,12.59,0.86,33.32,0.0159,12.6,0.78,34.01,0.013,12.56,0.79,28.46,0.0181,91.5
675,12.63,0.41,28.31,0.013,12.67,0.76,30.09,0.0157,12.68,0.86,41.9,0.013,12.7,0.49,34.74,0.0188,12.51,0.42,32.25,0.0198,12.68,0.52,27.23,0.0202,12.64,0.77,28.99,0.0201,91.5
676,12.66,0.71,27.33,0.013,12.67,0.61,33.61,0.013,12.7,0.57,39.62,0.0139,12.7,0.75,29.54,0.0149,12.69,0.54,28.56,0.0142,12.7,0.65,29.91,0.013,12.7,0.46,31.01,0.013,92.46
